,Acetaldehyde,Acetic acid,Acetic anhydride,Acetone,Acetonitrile,Acetophenone,Acetyl chloride,Acrylonitrile,Allyl alcohol,Amyl (i) acetate,Aniline,Anisole,Benzaldehyde,Benzene,"Benzenediol-1,3",Benzoic acid,Benzonitrile,Benzyl alcohol,Biphenyl,Bis(2-chloroethyl) ether,Bis-(m-phenoxyphenyl) ether,Bromobenzene,Bromochloromethane,Bromoform,Bromotrifluoromethane,Butanol-1,Butanol-2,Butyl (i) acetate,Butyl (n) acetate,Butyl (n) benzyl phthalate,Butyl-n lactate,Butylamine-n,Butylchloride (n),Butyraldehyde,Butyric-n acid,Butyronitrile,Carbon disulfide,Carbon tetrachloride,Chloro-3-propanol,Chlorobenzene,Chlorodifluoromethane,Chloroform,Cyclohexanol,Cyclohexanone,Cyclohexylamine,Decanol-1,Di-(2-chloro-l-propyl) ether,Di-(2-methoxyethyl) ether,Di-(i-butyl) ketone,Di-butyl stearate,Di-n-butyl phthalate,Di-n-butyl sebacate,Di-n-propylamine,Diacetone alcohol,Dibenzyl ether,Dichlorobenzene (o),"Dichloroethane-1,1","Dichloroethylene-1,1",Dichlorofluoromethane,Dichlorofluoromethane,Diethyl carbonate,Diethyl ether,Diethyl ketone,Diethyl phthalate,Diethyl sulfate,Diethyl sulfide,Diethylamine,Diethylbenzene (p),Diethylene glycol monobutyl-n ether,Diethylene glycol monoethyl ether,Diethylene glycol monomethyl ether,Diethylenetriamine,Dimethyl phthalate,Dimethyl sulfone,Dimethyl sulfoxide,"Dimethyl-1,3-butanol-1",Dimethylformamide,"Dimethylformamide-N,N","Dimethylhydrazine-1,1",Dioctyl phthalate,"Dioxane-1,4",Epichlorhydrin,Ethanethiol,Ethanolamine,Ethanolamine,Ethoxyethyl acetate-2,Ethyl acetate,Ethyl bromide,Ethyl chloroformate,Ethyl cinnamate,Ethyl formate,Ethyl lactate,Ethyl-1-butanol-1,Ethyl-2-hexanol-1,Ethylbenzene,Ethylene carbonate,Ethylene cyanohydrin,Ethylene diamine,Ethylene dibromide,Ethylene dichloride,Ethylene glycol monobutyl-n ether,Ethylene glycol monoethyl ether,Ethylene glycol monomethyl ether,Formamide,Formic acid,Furan,Furfuraldehyde,Furfuryl alcohol,Hexamethyl phosphoramide,Isophorone,Mesityl oxide,Mesitylene,Methanol,Methyl acetate,Methyl chloride,Methyl ethyl ketone,Methyl i-amyl ketone,Methyl i-butyl ketone,Methyl oleate,Methyl-2-propanol-1,Methyl-N-pyrrolidone-2,Methylene dichloride,Methylene diiodide,Methylnaphthalene-1,Morpholine,Naphthalene,Nitrobenzene,Nitroethane,Nitromethane,Nitropropane-2,Nonyl phonoxyl ethanol,Octanol-1,Octanol-2,Octoic-n acid,Oleic acid,Oleyl alcohol,Pentanol-1,Perfluoro-n-heptane,Perfluorodimethylcyclohexane,Perfluoromethylcyclohexane,Phenol,Propanol-1,Propanol-2,Propionitrile,Propyl (i) palmitate,Propyl (n) chloride,Propylamine-n,Propylene carbonate,Pyridine,Pyrrolidone-2,Quinoline,Stearic acid,Styrene,Succinic anhydride,"Tetrachloroethane-1,1,2,2",Tetrachloroethylene,Tetrahydrofuran,Tetrahydronaphthalene,Tetramethylurea,Toluene,Tri-n-butyl phosphate,Trichlorobiphenyl,"Trichloroethane-1,1,1",Trichloroethylene,Trichlorofluoromethane,Tricresyl phosphate,Tridecyl alcohol,Triethyl phosphate,Triethylene glycol mono-oleyl ether,Trimethyl phosphate,Water,Xylene (o)
Acetaldehyde,—,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non
Acetic acid,Oui,—,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non
Acetic anhydride,Oui,Oui,—,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non
Acetone,Oui,Non,Oui,—,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non
Acetonitrile,Non,Non,Non,Non,—,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non
Acetophenone,Non,Non,Non,Non,Non,—,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non
Acetyl chloride,Non,Non,Oui,Oui,Non,Non,—,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non
Acrylonitrile,Non,Non,Oui,Non,Oui,Non,Non,—,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non
Allyl alcohol,Oui,Oui,Oui,Non,Non,Non,Non,Non,—,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Amyl (i) acetate,Oui,Non,Non,Non,Non,Non,Non,Non,Non,—,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Non,Oui
